,0,1
0,0,10791
1,1,2461
2,2,1292
3,3,786
4,4,572
5,5,426
6,6,308
7,7,280
8,8,202
9,9,201
10,10,140
11,11,175
12,12,123
13,13,120
14,14,105
15,15,102
16,16,87
17,17,76
18,18,65
19,19,56
20,20,76
21,21,57
22,22,56
23,23,51
24,24,40
25,25,37
26,26,38
27,27,33
28,28,41
29,29,31
30,30,33
31,31,33
32,32,25
33,33,36
34,34,30
35,35,31
36,36,25
37,37,22
38,38,22
39,39,18
40,40,18
41,41,20
42,42,15
43,43,18
44,44,14
45,45,19
46,46,14
47,47,16
48,48,19
49,49,17
50,50,14
51,51,21
52,52,16
53,53,13
54,54,11
55,55,11
56,56,8
57,57,15
58,58,18
59,59,6
60,60,13
61,61,11
62,62,8
63,63,6
64,64,10
65,65,3
66,66,7
67,67,6
68,68,5
69,69,4
70,70,5
71,71,8
72,72,3
73,73,6
74,74,11
75,75,8
76,76,6
77,77,6
78,78,8
79,79,3
80,80,3
81,81,11
82,82,11
83,83,5
84,84,5
85,85,5
86,86,4
87,87,3
88,88,2
89,89,6
90,90,10
91,91,4
92,92,5
93,93,6
94,94,6
95,95,6
96,96,4
97,97,4
98,98,8
99,99,6
100,100,3
101,101,5
102,102,7
103,103,3
104,104,1
105,105,3
106,106,8
107,107,2
108,108,5
109,109,4
110,110,3
111,111,6
112,112,2
113,113,6
114,114,5
115,115,5
116,116,3
117,117,5
118,118,2
119,119,3
120,120,3
121,121,8
122,122,4
123,123,4
124,124,0
125,125,1
126,126,1
127,127,4
128,128,1
129,129,3
130,130,1
131,131,3
132,132,1
133,133,2
134,134,1
135,135,3
136,136,4
137,137,2
138,138,3
139,139,3
140,140,1
141,141,1
142,142,3
143,143,4
144,144,3
145,145,1
146,146,1
147,147,2
148,148,1
149,149,0
150,150,2
151,151,2
152,152,6
153,153,1
154,154,1
155,155,1
156,156,3
157,157,1
158,158,1
159,159,1
160,160,1
161,161,2
162,162,2
163,163,2
164,164,1
165,165,0
166,166,1
167,167,3
168,168,1
169,169,3
170,170,2
171,171,2
172,172,2
173,173,2
174,174,3
175,175,0
176,176,0
177,177,1
178,178,1
179,179,1
180,180,1
181,181,2
182,182,1
183,183,2
184,184,2
185,185,2
186,186,0
187,187,1
188,188,1
189,189,4
190,190,1
191,191,1
192,192,1
193,193,1
194,194,0
195,195,1
196,196,1
197,197,1
198,198,2
199,199,1
200,200,2
201,201,4
202,202,0
203,203,0
204,204,0
205,205,1
206,206,2
207,207,0
208,208,1
209,209,0
210,210,1
211,211,0
212,212,0
213,213,0
214,214,0
215,215,0
216,216,1
217,217,1
218,218,2
219,219,0
220,220,0
221,221,1
222,222,0
223,223,2
224,224,1
225,225,1
226,226,1
227,227,1
228,228,0
229,229,0
230,230,2
231,231,0
232,232,1
233,233,2
234,234,1
235,235,0
236,236,1
237,237,1
238,238,0
239,239,0
240,240,1
241,241,0
242,242,0
243,243,1
244,244,1
245,245,0
246,246,0
247,247,1
248,248,0
249,249,0
250,250,0
251,251,1
252,252,3
253,253,3
254,254,0
255,255,0
256,256,0
257,257,1
258,258,1
259,259,1
260,260,0
261,261,1
262,262,0
263,263,0
264,264,0
265,265,1
266,266,0
267,267,1
268,268,0
269,269,0
270,270,1
271,271,0
272,272,0
273,273,0
274,274,0
275,275,1
276,276,2
277,277,1
278,278,1
279,279,0
280,280,1
281,281,0
282,282,1
283,283,0
284,284,0
285,285,0
286,286,0
287,287,0
288,288,0
289,289,0
290,290,0
291,291,0
292,292,0
293,293,0
294,294,0
295,295,1
296,296,0
297,297,0
298,298,0
299,299,0
300,300,1
301,301,0
302,302,0
303,303,0
304,304,0
305,305,0
306,306,1
307,307,0
308,308,0
309,309,0
310,310,0
311,311,0
312,312,0
313,313,1
314,314,0
315,315,0
316,316,0
317,317,0
318,318,0
319,319,0
320,320,1
321,321,0
322,322,1
323,323,1
324,324,1
325,325,0
326,326,0
327,327,0
328,328,1
329,329,0
330,330,0
331,331,0
332,332,0
333,333,0
334,334,0
335,335,0
336,336,1
337,337,0
338,338,0
339,339,0
340,340,0
341,341,0
342,342,2
343,343,0
344,344,0
345,345,1
346,346,0
347,347,0
348,348,0
349,349,0
350,350,0
351,351,0
352,352,0
353,353,0
354,354,0
355,355,0
356,356,0
357,357,0
358,358,0
359,359,0
360,360,0
361,361,0
362,362,0
363,363,1
364,364,0
